"batch","feather_id","feather_id_new","feather_year_sampled","feather_date","box","JID","BTO","feather_length","feather_weight","extraction_weight_g","extraction_weight_mg","extraction_volume_ml","evaporation_volume_ml","assaybuffer_ml","dilution","CORT_pg.mL","CORT_pg.dL","CORT_pg.mg","CORT_pg.mg.1","site","sex","bite","box_year","feather_year_grown","year_diff","age_2022","age","JID_year_before","JID_year_grown","JID_year_sampled","tarsus_year_before","weight_year_before","tarsus_year_grown","weight_year_grown","tarsus_year_sampled","weight_year_sampled","tarsus","weight","box_grown","box_grown_year","box_owner_grown","partner_yr_before","partner_yr_grown","partner_yr_sampled","pair_ID_yr_before","pair_ID","pair_ID_year","pbvid","body_cond","body_cond_binary","body_cond_binary_num","sex_num","pbvid_mean","pair_ID2","box_density","box_density_cat","mean_tarsus","pair_ID_year2","mean_weight","mean_body_cond","pair_ID_yr_sampled2","feather_year_before","pair_ID_yr_before2","pbvid_mean_yr_before","pbvid_mean_yr_grown","pbvid_mean_yr_sampled","paired_year","repaired_year","feather_year_grown_paired","feather_year_grown_repaired","partner_samediff1","partner_samediff2","partner_samediff3","partner_same","disturbance","body_cond_early","brood_size_early","site_early","site_change","body_cond_c","age_c","body_cond_noNA","pair_ID_yr_sampled","pbvid_mean_c","clutch_size_yr_grown","fledge_nr_yr_grown","fledge_weight_yr_grown","clutch_size_yr_sampled","fledge_nr_yr_sampled","fledge_weight_yr_sampled","fledge_nr","fledge_weight","body_cond_z","age_z"
"A",12,"A12",2015,"09/06/2015","Z41","J1356","EZ25511",12.1,0.0906,0.0763,76.3,3,2,0.25,1,1442.4,0.1442,7.09,7.09,"Z","M",NA,"Z41_2015","2014",8,9,1,"J1356_2013","J1356_2014","J1356_2015",NA,NA,NA,NA,44.9,242.2,44.9,242.2,NA,"NA_2014","non-owner",NA,NA,"J1314",NA,NA,"NA_2014",NA,-6.22665398181918,"negative",0,1,NA,NA,NA,NA,44.9,"NA_2014",242.2,NA,"J1314J1356_2015",2013,"NA_2013",NA,NA,NA,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,-6.21369244779432,-3.85542168674699,-6.22665398181918,"J1314 J1356",NA,NA,NA,NA,5,2,421.9,2,421.9,-0.376322598905456,-1.65398442464532
"A",13,"A13",2015,"09/06/2015","Z37","J1357","EZ25512",10,0.0647,0.0554,55.4,3,2,0.25,1,665.9,0.0666,4.51,4.51,"Z","M",NA,"Z37_2015","2014",8,9,1,"J1357_2013","J1357_2014","J1357_2015",NA,NA,NA,NA,43.2,224,43.2,224,NA,"NA_2014","non-owner",NA,NA,"J600",NA,NA,"NA_2014",NA,-12.8679214127956,"negative",0,1,NA,NA,NA,NA,43,"NA_2014",220.4,NA,"J600J1357_2015",2013,"NA_2013",NA,NA,NA,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,-12.8549598787707,-3.85542168674699,-12.8679214127956,"J600 J1357",NA,NA,NA,NA,5,2,461.9,2,461.9,-0.778540610281023,-1.65398442464532
"A",14,"A14",2014,"17/07/2014","Z25","J912","EY69743",11.3,0.0795,0.0805,80.5,3,2,0.25,1,733.5,0.0734,3.42,3.42,"Z","F",NA,"Z25_2014","2013",9,9,0,"J912_2012","J912_2013","J912_2014",NA,NA,NA,NA,46.1,207.7,46.1,207.7,NA,"NA_2013","non-owner",NA,NA,NA,NA,NA,"NA_2013",NA,-48.8857593246594,"negative",0,0,NA,NA,NA,NA,45.8333333333333,"NA_2013",224.7,-20.2275205775246,"NA_2014",2012,"NA_2012",NA,NA,NA,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,-48.8727977906345,-4.85542168674699,-48.8857593246594,"J912 NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.95990482871115,-2.0829866347877
"A",15,"A15",2015,"10/06/2015","Z25","J1360","EZ25517",11,0.0834,0.0718,71.8,3,2,0.25,1,925.3,0.0925,4.83,4.83,"Z","M",1.75,"Z25_2015","2014",8,9,1,"J1360_2013","J1360_2014","J1360_2015",NA,NA,NA,NA,42.4,233,42.4,233,NA,"NA_2014","non-owner",NA,NA,"J912",NA,NA,"NA_2014",NA,1.57148214909791,"positive",1,1,0.05770141264,NA,NA,NA,42.7,"NA_2014",230.1,-2.85012359832685,"J912J1360_2015",2013,"NA_2013",NA,NA,0.05770141264,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,1.58444368312277,-3.85542168674699,1.57148214909791,"J912 J1360",-0.0217008544737624,NA,NA,NA,4,3,412.1,3,412.1,0.0959593622731923,-1.65398442464532
"A",18,"A18",2015,"27/06/2015","Z16","J572","EY69519",10.6,0.0779,0.0762,76.2,3,2,0.25,1,1041.3,0.1041,5.12,5.12,"Z","F",NA,"Z16_2015","2014",8,10,2,"J572_2013","J572_2014","J572_2015",40.4,225.2,40.7,206,40.6,196.6,40.5666666666667,209.266666666667,NA,"NA_2014","non-owner",NA,"J257","J257",NA,"J572 J257","J572 J257_2014",NA,-9.69655135489628,"negative",0,0,0.00581891427,"J572J257",NA,NA,40.55,"J572J257_2014",210.425,-10.8468045286807,"J572J257_2015",2013,"NA_2013",NA,NA,0.00581891427,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,-9.68358982087142,-2.85542168674699,-9.69655135489628,"J572 J257",-0.0735833528437624,NA,NA,NA,4,2,474.9,2,474.9,-0.586471525383964,-1.22498221450294
"A",19,"A19",2016,"06/06/2016","Z16","J257","EY40949",12.6,0.1155,0.1107,110.7,3,1.5,0.25,1,718.2,0.0718,3.24,3.24,"Z","M",NA,"Z16_2016","2015",7,10,3,"J257_2014","J257_2015","J257_2016",NA,NA,NA,NA,43.1,257.2,43.1,257.2,"Z16","Z16_2015","owner",NA,"J572","J572",NA,"J572 J257","J572 J257_2015",0.00581891427,21.0120040324411,"positive",1,1,0.00581891427,"J572J257",3,"Medium",43.5,"J572J257_2015",258.4,20.9195814239232,"J572J257_2016",2014,"NA_2014",NA,0.00581891427,NA,NA,NA,NA,NA,1,1,1,3,"Medium",NA,NA,NA,NA,21.024965566466,-1.85542168674699,21.0120040324411,"J572 J257",-0.0735833528437624,4,2,474.9,4,2,467.8,2,471.35,1.27334427159793,-0.795980004360561
"A",21,"A21",2016,"07/06/2016","Z06","J241","EY40903",12.2,0.0927,0.081,81,3,1.5,0.25,1,597.3,0.0597,3.69,3.69,"Z","F",NA,"Z06_2016","2015",7,12,5,"J241_2014","J241_2015","J241_2016",NA,NA,NA,NA,42.4,226.9,42.4,226.9,"Z06","Z06_2015","owner","J271","J271","J271","J241 J271","J241 J271","J241 J271_2015",0.3006367076,-4.52851785090208,"negative",0,0,0.150884058928,"J241J271",4,"Medium",43.45,"J241J271_2015",223,-14.1179844396803,"J241J271_2016",2014,"J241J271_2014",0.1131410256,0.3006367076,NA,NA,NA,NA,NA,1,1,1,3,"Low",NA,NA,NA,NA,-4.51555631687722,0.144578313253012,-4.52851785090208,"J241 J271",0.0714817918142376,6,3,669.6,6,3,717.4,3,693.5,-0.273477630724126,0.0620244159241996
"A",25,"A25",2016,"18/06/2016","Y35","J1352","EY69999",11.6,0.1003,0.0962,96.2,3,2,0.25,1,1005.6,0.1006,3.92,3.92,"Y","M",0.6,"Y35_2016","2015",7,10,3,"J1352_2014","J1352_2015","J1352_2016",NA,NA,41.3,225.8,42.4,224.1,41.85,224.95,"Y35","Y35_2015","owner",NA,"J793","J793",NA,"J793 J1352","J793 J1352_2015",0.0599936092,-2.73892790210031,"negative",0,1,0.0832618606,"J793J1352",1,"Low",42.2846153846154,"J793J1352_2015",227.65,-1.02048110674539,"J793J1352_2016",2014,"NA_2014",NA,0.0832618606,NA,NA,NA,NA,NA,1,1,1,3,"Low",NA,NA,NA,NA,-2.72596636807545,-1.85542168674699,-2.73892790210031,"J793 J1352",0.00385959348623764,5,4,891,6,3,599.7,3.5,745.35,-0.165093904595675,-0.795980004360561
"A",26,"A26",2015,"16/06/2015","Y32","J16","EY40779",11.1,0.0862,0.0658,65.8,3,2,0.25,1,578.1,0.0578,3.29,3.29,"Y","F",0.25,"Y32_2015","2014",8,11,3,"J16_2013","J16_2014","J16_2015",44.7,215,NA,NA,42.6,219.4,43.65,217.2,NA,"NA_2014","non-owner",NA,NA,"J562",NA,NA,"NA_2014",NA,-22.7275859163607,"negative",0,0,NA,NA,NA,NA,42.4545454545455,"NA_2014",223.718181818182,-3.68459151160452,"J16J562_2015",2013,"NA_2013",NA,NA,NA,NA,2018,NA,-4,1,1,1,3,NA,NA,NA,NA,NA,-22.7146243823358,-1.85542168674699,-22.7275859163607,"J16 J562",NA,NA,NA,NA,6,3,714.7,3,714.7,-1.37567582440553,-0.795980004360561
"A",27,"A27",2016,"10/06/2016","Y29","J361","EY40559",11.3,0.0988,0.0899,89.9,3,2,0.25,1,698.2,0.0698,2.91,2.91,"Y","M",NA,"Y29_2016","2015",7,12,5,"J361_2014","J361_2015","J361_2016",NA,NA,NA,NA,43.9,243.7,43.9,243.7,"Y29","Y29_2015","owner","J247","J247","J1909","J247 J361","J247 J361","J247 J361_2015",NA,2.07260047054765,"positive",1,1,NA,"J247J361",3,"Medium",44.3666666666667,"J247J361_2015",240.733333333333,-3.02927694028348,"J1909J361_2016",2014,"J247J361_2014",NA,NA,NA,NA,2016,NA,-1,1,2,2,5,"Low",NA,NA,NA,NA,2.08556200457251,0.144578313253012,2.07260047054765,"J1909 J361",NA,6,3,635.2,5,3,516.2,3,575.7,0.126308812406349,0.0620244159241996
"A",28,"A28",2015,"21/05/2015","Y22","J510","EY40714",10.6,0.0779,0.0612,61.2,3,2,0.25,1,350.6,0.0351,2.15,2.15,"Y","F",NA,"Y22_2015","2014",8,10,2,"J510_2013","J510_2014","J510_2015",39.6,176.9,NA,NA,39.8,199.6,39.7,188.25,NA,"NA_2014","non-owner",NA,NA,"J516",NA,NA,"NA_2014",NA,-24.8205308295117,"negative",0,0,0.00823417769,NA,NA,NA,39.7,"NA_2014",194.955555555556,-10.4174353398754,"J510J516_2015",2013,"NA_2013",NA,NA,0.00823417769,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,-24.8075692954868,-2.85542168674699,-24.8205308295117,"J510 J516",-0.0711680894237624,NA,NA,NA,3,2,472.4,2,472.4,-1.50243177116349,-1.22498221450294
"A",31,"A31",2016,"25/05/2016","Y22","J516","EY40720",12.3,0.1014,0.0863,86.3,3,2,0.25,1,565.5,0.0566,2.46,2.46,"Y","M",2.5,"Y22_2016","2015",7,10,3,"J516_2014","J516_2015","J516_2016",NA,NA,NA,NA,44.2,255,44.2,255,"Y22","Y22_2015","owner",NA,"J510","J510",NA,"J510 J516","J510 J516_2015",0.00915640949,11.3328241348376,"positive",1,1,0.00823417769,"J510J516",2,"Low",43.8857142857143,"J510J516_2015",236.514285714286,5.61026640539919,"J510J516_2016",2014,"NA_2014",NA,0.00823417769,NA,NA,2022,NA,-7,1,1,1,3,"Medium",NA,NA,NA,NA,11.3457856688625,-1.85542168674699,11.3328241348376,"J510 J516",-0.0711680894237624,3,2,472.4,5,2,439.6,2,456,0.687139826343708,-0.795980004360561
"A",32,"A32",2016,"07/06/2016","Y19","J1903","EZ25887",10.4,0.0828,0.0813,81.3,3,2,0.25,1,667.4,0.0667,3.08,3.08,"Y","F",NA,"Y19_2016","2015",7,9,2,"J1903_2014","J1903_2015","J1903_2016",NA,NA,NA,NA,41.1,221,41.1,221,"Y19","Y19_2015","owner",NA,NA,"J469",NA,NA,"NA_2015",NA,-1.58948706282523,"negative",0,0,NA,NA,1,"Low",41.0333333333333,"NA_2015",223.433333333333,3.83299881948606,"J1903J469_2016",2014,"NA_2014",NA,NA,NA,NA,2021,NA,-6,1,1,1,3,"Medium",NA,NA,NA,NA,-1.57652552880037,-2.85542168674699,-1.58948706282523,"J1903 J469",NA,5,4,695,5,3,580.3,3.5,637.65,-0.0954798115972978,-1.22498221450294
"A",33,"A33",2016,"19/06/2016","Y19","J469","EY40670",11.1,0.0937,0.091,91,3,2,0.25,1,611.4,0.0611,2.52,2.52,"Y","M",2,"Y19_2016","2015",7,12,5,"J469_2014","J469_2015","J469_2016",NA,NA,NA,NA,44.7,256.7,44.7,256.7,"Y19","Y19_2015","owner",NA,NA,"J1903",NA,NA,"NA_2015",NA,9.63319690865416,"positive",1,1,NA,NA,1,"Low",44.4,"NA_2015",249.9,5.89576696878552,"J1903J469_2016",2014,"NA_2014",NA,NA,NA,NA,NA,NA,NA,1,1,1,3,"Medium",NA,NA,NA,NA,9.64615844267902,0.144578313253012,9.63319690865416,"J1903 J469",NA,5,4,695,5,3,580.3,3.5,637.65,0.584204552301481,0.0620244159241996
"A",35,"A35",2015,"10/06/2015","Y10","J1359","EZ25513",11.6,0.1002,0.0953,95.3,3,2,0.25,1,679.8,0.068,2.67,2.67,"Y","M",NA,"Y10_2015","2014",8,10,2,"J1359_2013","J1359_2014","J1359_2015",NA,NA,NA,NA,NA,NA,NA,NA,NA,"NA_2014","non-owner",NA,NA,"J407",NA,NA,"NA_2014",NA,NA,NA,NA,1,NA,NA,NA,NA,43.5,"NA_2014",236.65,-0.830418576076751,"J407J1359_2015",2013,"NA_2013",NA,NA,NA,NA,NA,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,-0.817457042051891,-2.85542168674699,-0.830418576076751,"J407 J1359",NA,NA,NA,NA,4,2,400.2,2,400.2,-0.049508011724612,-1.22498221450294
"A",36,"A36",2016,"07/06/2016","Y09","J314","EY40512",12.2,0.1054,0.0974,97.4,3,2,0.25,1,716.3,0.0716,2.76,2.76,"Y","M",NA,"Y09_2016","2015",7,12,5,"J314_2014","J314_2015","J314_2016",NA,NA,NA,NA,45.3,231.4,45.3,231.4,"Y09","Y09_2015","owner","UNM.Y09.14","UNM.Y09.15","J1372","UNM.Y09.14 J314","UNM.Y09.15 J314","UNM.Y09.15 J314_2015",0.05577416595,-19.7463557627659,"negative",0,1,NA,"UNM.Y09.15J314",2,"Low",45.25,"UNM.Y09.15J314_2015",230.95,-19.2156133499557,"J1372J314_2016",2014,"UNM.Y09.14J314_2014",NA,NA,NA,NA,2017,NA,-2,2,2,2,6,"Medium",NA,NA,NA,NA,-19.733394228741,0.144578313253012,-19.7463557627659,"J1372 J314",NA,5,3,691.1,5,2,426.5,2.5,558.8,-1.19512226647487,0.0620244159241996
"A",37,"A37",2015,"16/06/2015","Y07","J290","EY40986",12.1,0.1117,0.1112,111.2,3,2,0.25,1,684.5,0.0685,2.31,2.31,"Y","M",NA,"Y07_2015","2014",8,12,4,"J290_2013","J290_2014","J290_2015",NA,NA,NA,NA,44.7,235.6,44.7,235.6,"Y07","Y07_2014","owner","J250","J250","J250","J250 J290","J250 J290","J250 J290_2014",0.05531112508,-11.4668030913458,"negative",0,1,0.0527448435475,"J250J290",3,"Medium",44.94,"J250J290_2014",241.233333333333,-6.68518837096382,"J250J290_2015",2013,"J250J290_2013",NA,0.05531112508,0.050178562015,NA,NA,NA,NA,1,1,1,3,"Medium",NA,NA,NA,NA,-11.4538415573209,-0.855421686746988,-11.4668030913458,"J250 J290",-0.0266574235662624,4,1,270.3,4,3,732.1,2,501.2,-0.693684062820389,-0.366977794218181
"A",38,"A38",2016,"18/06/2016","Y07","J290","EY40986",12.4,0.1111,0.1152,115.2,3,2,0.25,1,604.9,0.0605,1.97,1.97,"Y","M",NA,"Y07_2016","2015",7,12,5,"J290_2014","J290_2015","J290_2016",NA,NA,NA,NA,44.3,244.6,44.3,244.6,"Y07","Y07_2015","owner","J250","J250","J250","J250 J290","J250 J290","J250 J290_2015",0.05682370083,0.252898689600935,"positive",1,1,0.0253658366329,"J250J290",3,"Medium",44.94,"J250J290_2015",241.233333333333,-6.68518837096382,"J250J290_2016",2014,"J250J290_2014",0.05531112508,0.050178562015,NA,NA,NA,NA,NA,1,1,1,3,"Medium",NA,NA,NA,NA,0.265860223625795,0.144578313253012,0.252898689600935,"J250 J290",-0.0540364304808624,4,3,732.1,4,2,485.2,2.5,608.65,0.0161014100940833,0.0620244159241996
"A",39,"A39",2016,"02/06/2016","Y06","J515","EY40719",12.2,0.1029,0.0993,99.3,3,2,0.25,1,603.9,0.0604,2.28,2.28,"Y","M",0.75,"Y06_2016","2015",7,10,3,"J515_2014","J515_2015","J515_2016",NA,NA,NA,NA,44.6,240.4,44.6,240.4,"Y06","Y06_2015","owner",NA,"J1315","J1315",NA,"J1315 J515","J1315 J515_2015",NA,-5.98687764610913,"negative",0,1,NA,"J1315J515",4,"Medium",44.66,"J1315J515_2015",229.94,-9.52910130400759,"J1315J515_2016",2014,"NA_2014",NA,NA,NA,NA,NA,NA,NA,1,1,1,3,"Medium",NA,NA,NA,NA,-5.97391611208427,-1.85542168674699,-5.98687764610913,"J1315 J515",NA,3,2,491.8,5,3,620.1,2.5,555.95,-0.361800918830598,-0.795980004360561
"A",40,"A40",2018,"22/05/2018","Z33","J908","EY69739",11.8,0.0925,0.0855,85.5,3,2,0.25,1,474,0.0474,2.08,2.08,"Z","F",1.5,"Z33_2018","2017",5,9,4,"J908_2016","J908_2017","J908_2018",NA,NA,NA,NA,43.5,228.4,43.5,228.4,"Z33","Z33_2017","owner","J587","J587","J587","J908 J587","J908 J587","J908 J587_2017",NA,-10.5076977485056,"negative",0,0,0.01169799116,"J908J587",1,"Low",42.6,"J908J587_2017",229.885714285714,-0.848665969226348,"J908J587_2018",2016,"J908J587_2016",NA,NA,0.01169799116,NA,NA,NA,NA,1,1,1,3,"Medium",NA,NA,NA,NA,-10.4947362144807,-0.855421686746988,-10.5076977485056,"J908 J587",-0.0677042759537624,4,1,215.1,5,1,223.9,1,219.5,-0.635597342520956,-0.366977794218181
"A",42,"A42",2018,"11/06/2018","Z25","J1360","EZ25517",11.1,0.0977,0.0933,93.3,3,2,0.25,1,851.8,0.0852,3.42,3.42,"Z","M",1.75,"Z25_2018","2017",5,9,4,"J1360_2016","J1360_2017","J1360_2018",NA,NA,NA,NA,42.2,239.7,42.2,239.7,"Z25","Z25_2017","owner","J912","J912","J912","J912 J1360","J912 J1360","J912 J1360_2017",NA,9.63133303957124,"positive",1,1,0.08057138889,"J912J1360",5,"Medium",42.7,"J912J1360_2017",230.1,-2.85012359832685,"J912J1360_2018",2016,"J912J1360_2016",NA,NA,0.08057138889,NA,NA,NA,NA,1,1,1,3,"High",NA,NA,NA,NA,9.6442945735961,-0.855421686746988,9.63133303957124,"J912 J1360",0.00116912177623765,5,3,518,5,3,519.1,3,518.55,0.584091669975361,-0.366977794218181
